Data properties:

Recording date: 01.06.2010
Recording time: 12:13:12:000 (corresponds to time 0)
Study: Quelltext1
Subject: VP2_C1
Recording: Rec 04
Screen resolution: 1280 x 1024
Coordinate unit: Pixels


Filter settings:

Eye: Average
Validity: Normal
Fixation filter: Tobii fixation filter
Fixation radius: 35

FixationIndex	Timestamp	FixationDuration	MappedFixationPointX	MappedFixationPointY	
0	24	500	688	442	
1	524	108	589	448	
2	632	191	535	306	
3	824	150	492	257	
4	974	141	465	185	
5	1115	192	542	180	
6	1307	225	501	184	
7	1532	250	522	234	
8	1782	366	589	237	
9	2148	108	549	240	
10	2256	200	635	238	
11	2456	250	738	238	
12	2706	391	558	304	
13	3097	300	592	293	
14	3397	300	552	350	
15	3697	233	627	349	
16	3930	408	672	351	
17	4338	283	612	414	
18	4621	316	686	442	
19	4938	275	739	463	
20	5212	175	792	453	
21	5387	233	756	457	
22	5620	283	805	457	
23	6053	558	800	453	
24	6611	191	708	471	
25	6803	358	620	513	
26	7161	366	669	517	
27	7527	308	612	517	
28	7835	408	617	475	
29	8243	217	715	525	
30	8460	441	573	612	
31	8901	150	598	718	
32	9051	133	555	710	
33	9184	266	646	711	
34	9451	150	607	751	
35	9601	175	568	758	
36	9776	433	645	756	
37	10209	258	586	803	
38	10467	408	711	797	
39	10875	383	599	800	
40	11258	466	602	758	
41	11724	366	670	759	
42	12265	333	720	716	
43	12599	208	660	369	
44	12807	200	639	332	
45	13007	383	574	319	
46	13390	225	588	257	
47	13615	125	674	258	
48	13739	366	572	319	
49	14106	158	775	262	
50	14264	250	729	260	
51	14514	999	567	322	
52	15513	300	608	367	
53	15813	358	655	363	
54	16171	375	613	419	
55	16546	283	682	410	
56	16829	291	744	412	
57	17270	150	767	402	
58	17420	475	680	408	
59	17895	283	760	410	
60	18178	575	661	396	
61	18752	258	688	425	
62	19011	241	733	412	
63	19252	291	664	414	
64	19544	158	740	406	
65	19810	83	762	477	
66	19893	358	756	410	
67	20251	333	733	291	
68	20793	92	729	331	
69	20884	483	728	402	
70	21567	924	730	412	
71	22491	175	794	413	
72	22866	175	801	408	
73	23166	191	731	415	
74	23357	416	793	405	
75	23774	192	648	477	
76	23965	241	701	462	
77	24207	408	594	468	
78	24615	100	695	467	
79	24715	175	657	472	
80	24890	150	704	464	
81	25223	200	708	460	
82	25422	283	564	588	
83	25706	266	662	432	
84	26114	341	754	422	
85	26455	350	680	482	
86	27005	1024	681	475	
87	28187	200	607	467	
88	28387	441	675	476	
89	29036	300	662	470	
90	29336	316	742	479	
91	29653	183	685	474	
92	29986	125	690	485	
93	30111	158	725	422	
94	30269	316	679	426	
95	30585	466	732	415	
96	31210	308	688	409	
97	31518	391	757	415	
98	31909	183	714	415	
99	32093	241	751	416	
100	32501	250	741	404	
101	32750	258	658	419	
102	33009	300	608	423	
103	33308	166	790	410	
104	33475	425	752	413	
105	34083	491	685	418	
106	34574	450	743	415	
107	35024	275	784	410	
108	35299	108	682	447	
109	35407	208	664	483	
110	35615	266	607	476	
111	35882	216	724	473	
112	36248	166	709	454	
113	36414	175	769	420	
114	36589	183	620	527	
115	36773	483	574	588	
116	37256	291	644	316	
117	37547	266	714	482	
118	37813	358	624	729	
119	38172	266	572	768	
120	38438	250	455	248	
121	38688	141	205	178	
122	38829	158	109	162	
123	38988	266	77	138	
124	39254	441	159	138	
125	39695	291	146	194	
126	39987	416	137	251	
127	40403	216	98	267	
128	40620	483	137	151	
129	41103	233	184	148	
130	41336	191	127	196	
131	41636	58	182	133	
132	41694	167	179	192	
133	41861	458	148	238	
134	42319	591	94	294	
135	42910	275	145	265	
136	43351	475	124	232	
137	43826	475	143	202	
138	44300	316	130	152	
139	45741	8	-572	325	
140	46540	217	114	171	
141	46757	1116	147	202	
142	47873	491	47	202	
143	48364	516	123	236	
144	48880	333	122	290	
145	49213	366	56	352	
146	49580	83	43	245	
147	49663	241	74	197	
148	49905	283	66	330	
149	50188	275	143	137	
150	50463	266	315	332	
151	50729	233	347	416	
152	50962	250	412	427	
153	51212	383	374	374	
154	51595	166	439	400	
155	51762	92	563	419	
156	52003	508	586	446	
157	52511	91	602	238	
158	52603	125	597	168	
159	52728	175	570	142	
160	52902	133	510	149	
161	53036	200	459	134	
162	53236	158	529	140	
163	53394	208	631	134	
164	53602	350	686	138	
165	53952	300	736	138	
166	54251	1183	790	137	
167	55434	291	696	144	
168	55725	375	519	208	
169	56100	233	556	202	
170	56333	400	556	256	
171	56733	208	607	316	
172	56941	216	681	305	
173	57158	416	763	306	
174	57574	416	600	370	
175	57990	166	632	474	
176	58157	200	716	466	
177	58357	266	585	432	
178	58623	225	795	477	
179	58848	200	612	575	
180	59048	158	639	614	
181	59206	458	766	615	
182	59664	108	609	603	
183	59772	25	614	567	
184	59797	166	579	572	
185	59964	266	594	664	
186	60230	167	626	615	
187	60397	291	737	610	
188	60689	250	644	780	
189	60938	325	583	802	
190	61263	291	574	476	
191	61554	308	235	248	
192	61863	175	109	209	
193	62038	391	74	143	
194	62429	208	128	132	
195	62637	325	189	135	
196	62962	258	323	129	
197	63220	266	483	122	
198	63486	200	542	130	
